品规名,单箱价格,品规ID,上期销售量,产能
中南海(京韵细支烤烟),75000,6901028010290,14,42
云烟(中支金腰带),75000,6901028340670,183,243
云烟(细支大重九),250000,6901028312356,153,186
云烟(细支珍品),65000,6901028339537,474,580
云烟(软大重九),245000,6901028051989,80,122
云烟(软珍品),60000,6901028045919,4695,5643
冬虫夏草(和润),125000,6901028177214,522,657
凤凰(细支),87500,6901028018166,594,728
利群(蓝天),40000,6901028207089,8018,9654
利群(西子阳光),77500,6901028119009,714,870
利群(西湖恋),57500,6901028110709,691,831
利群(软红长嘴),55000,6901028207508,2815,3397
利群(软长嘴),90000,6901028120708,1981,2386
南京(九五),250000,6901028112789,236,287
南京(佳品),40000,6901028300087,8822,10594
南京(十二钗烤烟),70000,6901028062329,9116,10960
南京(十二钗薄荷),55000,6901028062350,13130,15784
南京(红楼卷),250000,6901028112710,381,484
南京(雨花石),132500,6901028111546,6574,7908
古田(红军灰),100000,6901028143677,32,63
天子(千里江山细支),75000,6901028228466,34,74
延安(细支圣地河谷),75000,6901028937412,18,33
恒大(烟魁1949中支),162500,6901028018753,151,185
泰山(东方),30000,6901028156752,9574,11527
泰山(华贵),25000,6901028156783,91581,109934
泰山(好好学习),50000,6901028155618,756,947
泰山(好客细支),55000,6901028154154,11183,13421
泰山(宏图),27500,6901028157216,61242,73492
泰山(平安),27500,6901028148955,45807,54998
泰山(心悦),40000,6901028159753,41384,49701
泰山(拂光细支),105000,6901028148603,2836,3428
泰山(新品),55000,6901028150194,28594,34316
泰山(望岳),47500,6901028150378,7228,8680
泰山(白将军),25000,6901028151634,47014,56454
泰山(白将细支),37500,6901028156608,14767,17731
泰山(青秀),35000,6901028159579,8856,10662
泰山(颜悦),50000,6901028155557,7743,9293
玉溪(108),75000,6901028053419,455,580
玉溪(中支和谐),100000,6901028052696,111,141
玉溪(创客),50000,6901028054898,1719,2065
玉溪(细支初心),65000,6901028053471,1976,2388
玉溪(细支清香世家),65000,6901028054447,1880,2279
玉溪(软),57500,6901028317177,39923,47922
玉溪(软初心),50000,6901028053594,572,707
玉溪(软阿诗玛),50000,6901028053082,619,765
玉溪(高配版),57500,6901028053440,1350,1636
白沙(和天下),250000,6901028196932,77,116
芙蓉王(硬),62500,6901028193504,3575,4328
芙蓉王(硬细支),65000,6901028201728,1283,1571
苏烟(五星红杉树),55000,6901028062015,9806,11795
苏烟(沉香),250000,6901028116190,77,98
苏烟(软金砂),120000,6901028114455,4104,4955
贵烟(萃),50000,6901028221542,2137,2581
贵烟(跨越),62500,6901028221450,1676,2024
贵烟(魔力),125000,6901028221603,39,70
金圣(智圣出山),250000,6901028136358,135,180
黄山(徽商新概念细支),125000,6901028125970,89,115
黄山(红方印前店后坊中支),100000,6901028123983,66,97
黄金叶(乐途),37500,6901028160285,2833,3420
黄金叶(小目标),32500,6901028165921,1761,2142
黄金叶(爱尚),40000,6901028165242,2658,3215
黄鹤楼(硬1916),250000,6901028184250,607,739
黄鹤楼(硬圣火),125000,6901028190404,43,65
黄鹤楼(硬天下胜景),65000,6901028178105,159,226
黄鹤楼(硬奇景),75000,6901028219174,402,492
黄鹤楼(硬峡谷情细支),87500,6901028188029,356,442
黄鹤楼(硬峡谷柔情),100000,6901028181457,853,1032
黄鹤楼(硬平安),250000,6901028184304,333,428
黄鹤楼(硬金砂龙烟),37500,6901028183239,4268,5132
黄鹤楼(软蓝),47500,6901028180580,9986,11994
黄鹤楼(软雪之景),35000,6901028190602,6843,8232
