,ф╥╧ФID,╣╣н╩,dzm,dzl,ddmz,dgl,strategy,group_num,dg_qty,xq_qty,м╤╥еа©,item
607,6.90103E+12,30,0.907407407,0.730452675,0.896464646,0.328600406,6,493,710,792,972,куял(хМ╫Пи╟)
608,6.90103E+12,29,0.889570552,0.554192229,0.917089679,0.246969697,6,660,542,591,978,куял(хМ╫Пи╟)
609,6.90103E+12,28,0.911392405,0.455696203,0.84375,0.242331288,6,326,216,256,474,куял(хМ╫Пи╟)
601,6.90103E+12,27,0.890410959,0.578767123,0.875647668,0.212209302,4,344,169,193,292,куял(хМ╫Пи╟)
602,6.90103E+12,26,0.891025641,0.477564103,0.886904762,0.232835821,4,670,298,336,624,куял(хМ╫Пи╟)
603,6.90103E+12,25,1,0.339285714,1,0.179487179,4,78,19,19,56,куял(хМ╫Пи╟)
627,6.90103E+12,24,0.909090909,0.646464646,0.893023256,0.163907285,3,604,192,215,297,куял(хМ╫Пи╟)
628,6.90103E+12,23,0.905172414,0.586206897,0.886956522,0.174174174,3,666,204,230,348,куял(хМ╫Пи╟)
629,6.90103E+12,22,0.933962264,0.547169811,0.865671642,0.139841689,3,758,174,201,318,куял(хМ╫Пи╟)
617,6.90103E+12,21,0.946902655,0.533923304,0.905,0.146562905,3,771,181,200,339,куял(хМ╫Пи╟)
618,6.90103E+12,20,0.940677966,0.796610169,0.90821256,0.104148279,2,1133,188,207,236,куял(хМ╫Пи╟)
619,6.90103E+12,19,0.971962617,0.705607477,0.955696203,0.098890943,2,1082,151,158,214,куял(хМ╫Пи╟)
620,6.90103E+12,18,0.927083333,0.723958333,0.920529801,0.07239819,2,1326,139,151,192,куял(хМ╫Пи╟)
621,6.90103E+12,17,0.97,0.715,0.959731544,0.061462815,2,1627,143,149,200,куял(хМ╫Пи╟)
622,6.90103E+12,16,0.961538462,0.701923077,0.918238994,0.053305997,2,1951,146,159,208,куял(хМ╫Пи╟)
623,6.90103E+12,15,0.903614458,0.692771084,0.858208955,0.043161726,2,1923,115,134,166,куял(хМ╫Пи╟)
610,6.90103E+12,14,0.891304348,0.695652174,0.864864865,0.042950514,2,1071,64,74,92,куял(хМ╫Пи╟)
611,6.90103E+12,13,0.911392405,0.64556962,0.80952381,0.041491597,2,1904,102,126,158,куял(хМ╫Пи╟)
612,6.90103E+12,12,0.842105263,0.565789474,0.843137255,0.025885559,2,1468,43,51,76,куял(хМ╫Пи╟)
613,6.90103E+12,11,0.840909091,0.636363636,0.674698795,0.027620841,2,1593,56,83,88,куял(хМ╫Пи╟)
614,6.90103E+12,10,0.9375,0.53125,0.944444444,0.01902497,2,841,17,18,32,куял(хМ╫Пи╟)
615,6.90103E+12,9,0.818181818,0.590909091,0.604651163,0.025287356,2,870,26,43,44,куял(хМ╫Пи╟)
616,6.90103E+12,8,0.793103448,0.620689655,0.692307692,0.030366492,2,955,36,52,58,куял(хМ╫Пи╟)
604,6.90103E+12,7,0.941176471,0.5,0.944444444,0.016765286,2,1014,17,18,34,куял(хМ╫Пи╟)
605,6.90103E+12,6,0.739130435,0.5,0.410714286,0.024891775,2,924,23,56,46,куял(хМ╫Пи╟)
606,6.90103E+12,5,0.727272727,1,0.628571429,0.024553571,1,896,22,35,22,куял(хМ╫Пи╟)
630,6.90103E+12,4,0.807692308,1.038461538,0.771428571,0.03125,1,832,27,35,26,куял(хМ╫Пи╟)
624,6.90103E+12,3,0.727272727,0.96969697,0.524590164,0.044058745,1,749,32,61,33,куял(хМ╫Пи╟)
625,6.90103E+12,2,0.72,1,0.581395349,0.039936102,1,626,25,43,25,куял(хМ╫Пи╟)
626,6.90103E+12,1,0.75,0.964285714,0.75,0.010997643,1,2546,27,36,28,куял(хМ╫Пи╟)
